time,value
1577033096038,3444900.0
1577033096088,3411848.0
1577033096134,3475974.0
1577033096186,3554824.0
1577033096233,3594453.0
1577033096284,3499597.0
1577033096334,3369189.0
1577033096378,3453633.0
1577033096433,3258435.0
1577033096481,3216875.0
1577033096530,3230565.0
1577033096576,3193183.0
1577033096629,3201505.0
1577033096677,3206221.0
1577033096730,3205851.0
1577033096772,3255684.0
1577033096826,3193201.0
1577033096876,3166447.0
1577033096924,3239745.0
1577033096977,3318024.0
1577033097022,3259509.0
1577033097071,3183721.0
1577033097120,3303249.0
1577033097171,4546872.0
1577033097219,3616357.0
1577033097269,3426041.0
1577033097311,3428843.0
1577033097368,3446846.0
1577033097416,3484430.0
1577033097466,3529723.0
1577033097516,3700022.0
1577033097564,3703143.0
1577033097613,3582541.0
1577033097662,3621081.0
1577033097713,3580259.0
1577033097761,3581568.0
1577033097810,3473952.0
1577033097853,3383568.0
1577033097909,4532989.0
1577033097952,3683185.0
1577033098004,3236841.0
1577033098057,3227420.0
1577033098105,3298972.0
1577033098158,3364825.0
1577033098198,3422677.0
1577033098246,3435975.0
1577033098295,3390874.0
1577033098345,3266992.0
1577033098394,3179879.0
1577033098443,3375294.0
1577033098496,3699636.0
1577033098549,3703084.0
1577033098595,3661852.0
1577033098647,3457836.0
1577033098698,3295859.0
1577033098744,3205457.0
1577033098793,3183386.0
1577033098843,3322016.0
1577033098892,3337478.0
1577033098941,3298551.0
1577033098990,3311546.0
1577033099038,3300876.0
1577033099089,3291916.0
1577033099132,3296152.0
1577033099189,3315019.0
1577033099237,3356680.0
1577033099286,3418928.0
1577033099337,3801045.0
1577033099380,4116736.0
1577033099434,3884483.0
1577033099482,3565133.0
1577033099532,3501878.0
1577033099581,3564907.0
1577033099631,3613405.0
1577033099680,3593951.0
1577033099730,3648227.0
1577033099777,3659804.0
1577033099828,3558204.0
1577033099879,3530863.0
1577033099927,3548489.0
1577033099972,3600284.0
1577033100019,3578715.0
1577033100067,3757110.0
1577033100120,4232742.0
1577033100172,4300702.0
1577033100221,4283899.0
1577033100271,4262196.0
1577033100314,4244612.0
1577033100368,4244989.0
1577033100416,4291214.0
1577033100468,4426044.0
1577033100518,4520606.0
1577033100566,4493854.0
1577033100614,4432125.0
1577033100665,4419240.0
1577033100714,4417822.0
1577033100763,4386681.0
1577033100812,4332505.0
1577033100859,4429929.0
1577033100909,4358897.0
1577033100955,4199017.0
