time,value
1583191455765,180
1583191456893,180
1583191457834,180
1583191458778,179
1583191459813,179
1583191460804,180
1583191461795,180
1583191462782,181
1583191463864,181
1583191464858,181
1583191465892,181
1583191466797,180
1583191467782,179
1583191468856,179
1583191469758,178
1583191470839,177
1583191471872,177
1583191472865,177
1583191473770,178
1583191474800,178
1583191475788,177
1583191476823,176
1583191477860,176
1583191478765,176
1583191479802,176
1583191480835,176
1583191481850,176
1583191482794,176
1583191483828,175
1583191484777,174
1583191485871,172
1583191486820,170
1583191487804,168
1583191488842,167
1583191489827,167
1583191490866,166
1583191491767,166
1583191492893,166
1583191493880,166
1583191494824,166
1583191495770,166
1583191496810,166
1583191497890,166
1583191498785,166
1583191499775,166
1583191500767,166
1583191501887,167
1583191502881,167
1583191503829,168
1583191504768,168
1583191505758,168
1583191506845,167
1583191507786,166
1583191508767,165
1583191509866,163
1583191510798,162
1583191511789,161
1583191512779,161
1583191513859,161
1583191514895,161
1583191515800,161
1583191516787,162
1583191517870,162
1583191518770,162
1583191519893,161
1583191520790,160
1583191521779,160
1583191522817,159
1583191523759,159
1583191524840,160
1583191525874,161
1583191526820,162
1583191527765,161
1583191528801,160
1583191529790,159
1583191530825,159
1583191531860,159
1583191532803,158
1583191533840,158
1583191534874,157
1583191535862,157
1583191536766,157
1583191537892,156
1583191538789,155
1583191539825,154
1583191540814,153
1583191541804,152
1583191542891,152
1583191543875,152
1583191544776,152
1583191545766,152
1583191546895,152
1583191547797,152
1583191548825,153
1583191549775,153
1583191550810,153
1583191551839,154
1583191552877,155
1583191553775,155
1583191554766,156
1583191555845,157
1583191556787,158
1583191557825,159
1583191558815,159
1583191559761,160
1583191560801,160
1583191561831,159
1583191562865,159
1583191563855,158
1583191564896,157
1583191565791,156
1583191566785,156
1583191567815,156
1583191568759,156
1583191569840,156
1583191570785,156
1583191571872,156
1583191572766,156
1583191573846,156
1583191574880,155
1583191575779,155
1583191576775,154
1583191577805,154
1583191578839,154
1583191579828,154
1583191580868,154
1583191581769,154
1583191582800,153
1583191583790,153
1583191584825,152
1583191585813,151
1583191586808,151
1583191587888,151
1583191588788,151
1583191589777,151
1583191590770,152
1583191591895,152
1583191592789,152
1583191593786,151
1583191594772,151
1583191595764,151
1583191596794,151
1583191597873,151
1583191598776,151
1583191599856,152
1583191600890,153
1583191601789,153
1583191602786,154
1583191603861,154
1583191604759,153
1583191605840,153
1583191606830,153
1583191607865,153
1583191608856,153
1583191609853,152
1583191610794,152
1583191611780,151
1583191612863,151
1583191613765,150
1583191614842,150
1583191615830,150
1583191616823,150
1583191617772,150
1583191618806,151
1583191619881,152
1583191620826,154
1583191621774,155
1583191622855,155
1583191623840,156
1583191624876,157
1583191625769,157
1583191626764,158
1583191627893,158
1583191628776,157
1583191629782,157
1583191630815,156
1583191631806,155
1583191632796,154
1583191633876,153
1583191634781,152
1583191635766,152
1583191636801,152
1583191637840,152
1583191638828,153
1583191639812,153
1583191640759,153
1583191641794,153
1583191642879,153
1583191643867,153
1583191644767,153
1583191645800,152
1583191646793,152
1583191647776,152
1583191648768,152
1583191649803,152
1583191650795,153
1583191651830,153
1583191652865,154
1583191653854,154
1583191654889,154
1583191655795,154
1583191656780,153
1583191657860,153
1583191658759,152
1583191659828,151
1583191660829,150
1583191661864,150
1583191662769,151
1583191663800,151
1583191664796,151
1583191665870,151
1583191666860,151
1583191667763,152
1583191668836,152
1583191669824,152
1583191670863,152
1583191671763,153
1583191672799,154
1583191673789,155
1583191674780,157
1583191675815,157
1583191676806,158
1583191677884,158
1583191678833,159
1583191679778,158
1583191680810,158
1583191681892,157
1583191682794,157
1583191683779,157
1583191684774,157
1583191685760,157
1583191686799,157
1583191687831,158
1583191688776,158
1583191689854,158
1583191690892,158
1583191691791,158
1583191692779,158
1583191693775,158
1583191694805,157
1583191695794,156
1583191696827,156
1583191697868,155
1583191698769,154
1583191699890,153
1583191700790,154
1583191701828,155
1583191702772,155
1583191703765,155
1583191704841,155
1583191705828,154
1583191706869,154
1583191707854,153
1583191708844,152
1583191709789,151
1583191710780,151
1583191711821,151
1583191712765,150
1583191713839,150
1583191714830,150
1583191715865,150
1583191716765,150
1583191717802,149
1583191718795,148
1583191719779,147
1583191720811,146
1583191721804,145
1583191722840,145
1583191723878,144
1583191724773,144
1583191725854,144
1583191726891,145
1583191727790,145
1583191728780,146
1583191729813,0
1583191730851,0
