time,value,accuracy
1586705441007,166.13667,3
1586705441981,166.18001,3
1586705442954,166.30841,3
1586705443929,166.91284,3
1586705444902,166.91284,3
1586705445877,167.1735,2
1586705446852,167.19406,2
1586705447825,167.2487,2
1586705448798,167.36072,2
1586705449769,167.67317,2
1586705450743,167.67317,2
1586705451725,167.69682,2
1586705452695,167.67424,2
1586705453667,167.64601,3
1586705454647,167.62726,3
1586705455614,167.80714,3
1586705456589,167.80714,3
1586705457559,168.82173,3
1586705458535,169.22069,3
1586705459516,169.50914,3
1586705460493,170.19603,3
1586705461466,170.54387,3
1586705462436,170.54387,3
1586705463414,171.26033,3
1586705464388,171.62317,3
1586705465360,171.90926,3
1586705466336,172.15051,3
1586705467312,172.34593,3
1586705468283,172.34593,3
1586705469260,172.50722,3
1586705470225,172.6386,3
1586705471206,172.59137,3
1586705472181,172.55524,2
1586705473156,172.62624,2
1586705474124,172.62624,2
1586705475102,172.72835,2
1586705476075,172.85791,2
1586705477051,172.99905,2
1586705478026,172.9724,2
1586705479002,172.93138,2
1586705479974,172.93138,2
1586705480943,172.28636,3
1586705481919,172.10721,3
1586705482898,171.48798,3
1586705483866,171.21242,3
1586705484843,170.99399,3
1586705485810,170.99399,3
1586705486790,170.79707,3
1586705487773,170.41066,3
1586705488739,170.40137,3
1586705489716,170.43333,3
1586705490688,170.64104,3
1586705491666,170.64104,3
1586705492643,170.69168,3
1586705493616,170.73512,3
1586705494586,170.77855,3
1586705495558,170.82266,3
1586705496541,170.86087,3
1586705497506,170.86087,3
1586705498482,170.87282,3
1586705499464,171.36761,3
1586705500437,171.41602,3
1586705501410,171.41063,3
1586705502387,170.93599,3
1586705503362,170.93599,3
1586705504327,170.83606,3
1586705505305,170.7927,3
1586705506280,170.7957,3
1586705507258,170.80324,3
1586705508234,170.81422,3
1586705509204,170.81422,3
1586705510184,170.87645,3
1586705511157,170.93393,3
1586705512129,171.41043,3
1586705513098,171.57011,3
1586705514079,171.67067,3
